,name,handedness,height,weight,avg,HR,Hand
709,Jim Holt,L,72,180,0.265,19,Left
208,Jim Lefebvre,B,72,180,0.251,74,Both
1037,Jim Lewis,R,75,190,0.0,0,Right
706,Jim Lonborg,R,77,200,0.136,3,Right
55,Jim Lyttle,L,72,180,0.248,9,Left
748,Jim Maloney,L,74,190,0.201,7,Left
246,Jim Mason,L,74,185,0.203,12,Left
337,Jim Morrison,R,71,175,0.26,112,Right
370,Jim Nettles,L,72,186,0.22,16,Left
349,Jim Norris,L,70,175,0.264,7,Left
418,Jim Northrup,L,75,190,0.267,153,Left
363,Jim Pankovits,R,70,170,0.25,9,Right
573,Jim Price,R,72,192,0.214,18,Right
168,Jim Ray Hart,R,71,185,0.278,170,Right
1052,Jim Rice,R,74,200,0.298,382,Right
984,Jim Rooker,R,72,195,0.201,7,Right
51,Jim Siwy,R,76,200,0.0,0,Right
543,Jim Spencer,L,74,195,0.25,146,Left
476,Jim Sundberg,R,72,190,0.248,95,Right
774,Jim Traber,L,72,194,0.227,27,Left
266,Jim Umbarger,L,78,200,0.0,0,Left
719,Jim Wohlford,R,71,175,0.26,21,Right
713,Jim Wright,R,77,205,0.0,0,Right
714,Jim Wright,R,73,165,0.0,0,Right
693,Jimmie Hall,L,72,175,0.254,121,Left
1039,Jimmie Schaffer,R,69,170,0.223,11,Right
255,Jimmy Stewart,B,72,165,0.237,8,Both
991,Jimmy Wynn,R,70,160,0.25,291,Right
757,Joaquin Andujar,B,72,170,0.127,5,Both
618,Jody Davis,R,76,192,0.245,127,Right
85,Joe Azcue,R,72,190,0.252,50,Right
1038,Joe Charboneau,R,74,205,0.266,29,Right
1105,Joe Ferguson,R,74,200,0.24,122,Right
316,Joe Foy,R,72,215,0.248,58,Right
926,Joe Gaines,R,73,190,0.241,21,Right
483,Joe Hague,L,72,195,0.239,40,Left
328,Joe Horlen,R,72,170,0.134,0,Right
308,Joe Keough,L,72,185,0.246,9,Left
138,Joe Lahoud,L,73,198,0.223,65,Left
747,Joe Lefebvre,L,70,170,0.258,31,Left
707,Joe Lis,R,72,175,0.233,32,Right
116,Joe Lovitto,B,72,185,0.216,4,Both
672,Joe Morgan,L,67,160,0.271,268,Left
173,Joe Niekro,R,73,185,0.156,1,Right
2,Joe Nolan,L,71,175,0.263,27,Left
261,Joe Nossek,R,72,178,0.228,3,Right
353,Joe Pactwa,L,71,185,0.0,0,Left
906,Joe Pepitone,L,74,185,0.258,219,Left
1051,Joe Rudi,R,74,200,0.264,179,Right
386,Joe Simpson,L,75,175,0.242,9,Left
401,Joe Skalski,R,75,190,0.0,0,Right
612,Joe Strain,R,70,169,0.25,1,Right
1011,Joe Torre,R,74,212,0.297,252,Right
855,Joe Wallis,B,71,180,0.244,16,Both
617,Joel Davis,L,77,205,0.0,0,Left
170,Joel McKeon,L,72,185,0.0,0,Left
655,Joel Youngblood,R,72,180,0.265,80,Right
924,John Bateman,R,75,210,0.23,81,Right
694,John Boccabella,R,73,195,0.219,26,Right
811,John Bohnet,B,72,175,0.0,0,Both
56,John Butcher,R,76,185,0.0,0,Right
667,John Caneira,R,75,180,0.0,0,Right
842,John Castino,R,71,175,0.278,41,Right
623,John Denny,R,75,185,0.17,0,Right
393,John Donaldson,L,71,160,0.238,4,Left
937,John Ellis,R,74,225,0.262,69,Right
849,John Flinn,R,72,175,0.0,0,Right
419,John Hale,L,74,195,0.201,14,Left
621,John Hobbs,R,75,190,0.0,0,Right
967,John Hoover,R,74,190,0.0,0,Right
1125,John Kennedy,R,72,185,0.225,32,Right
10,John LaRose,L,73,185,0.0,0,Left
1098,John Leister,R,74,200,0.0,0,Right
481,John Lowenstein,L,72,175,0.253,116,Left
395,John Mayberry,L,75,215,0.253,255,Left
515,John Milner,L,72,185,0.249,131,Left
596,John Orsino,R,75,215,0.249,40,Right
374,John Pawlowski,R,74,175,0.0,0,Right
1108,John Poloni,L,77,210,0.0,0,Left
92,John Stearns,R,72,185,0.26,46,Right
678,John Stephenson,L,71,180,0.216,12,Left
141,John Trautwein,R,75,205,0.0,0,Right
384,John Vukovich,R,73,187,0.161,6,Right
880,John Wathan,R,74,205,0.262,21,Right
18,John Wockenfuss,R,72,190,0.262,86,Right
738,Johnnie LeMaster,R,74,165,0.222,22,Right
761,Johnny Bench,R,73,197,0.267,389,Right
598,Johnny Briggs,L,73,190,0.253,139,Left
949,Johnny Edwards,L,76,220,0.242,81,Left
759,Johnny Grubb,L,75,175,0.278,99,Left
152,Johnny Jeter,R,73,180,0.244,18,Right
122,Johnny Lewis,L,73,189,0.227,22,Left
163,Johnny Oates,L,71,188,0.25,14,Left
435,Johnny Ray,B,71,170,0.29,53,Both
189,Jorge Orta,L,70,170,0.278,130,Left
250,Jose Arcia,R,75,170,0.215,1,Right
4,Jose Cardenal,R,70,150,0.275,138,Right
565,Jose Cecena,R,71,180,0.0,0,Right
263,Jose Cruz,L,72,170,0.284,165,Left
496,Jose Morales,R,71,187,0.287,26,Right
102,Jose Roman,R,72,175,0.0,0,Right
634,Jose Tartabull,L,71,165,0.261,2,Left
441,Juan Beniquez,R,71,150,0.274,79,Right
12,Juan Bonilla,R,69,170,0.256,7,Right
499,Juan Marichal,R,72,185,0.165,4,Right
915,Juan Nieves,L,75,175,0.0,0,Left
88,Julian Javier,R,73,175,0.257,78,Right
913,Julio Cruz,B,69,165,0.237,23,Both
431,Julio Gonzalez,R,71,162,0.235,4,Right
890,Julio Gotay,R,72,180,0.26,6,Right
1040,Junior Kennedy,R,71,175,0.248,4,Right
177,Junior Moore,R,71,185,0.264,7,Right
629,Karl Best,R,76,190,0.0,0,Right
227,Keith Creel,R,74,180,0.0,0,Right
602,Keith Hernandez,L,72,180,0.296,162,Left
823,Keith Macwhorter,R,76,190,0.0,0,Right
722,Keith Moreland,R,72,190,0.279,121,Right
175,Ken Berry,R,72,175,0.255,58,Right
124,Ken Boswell,L,72,170,0.248,31,Left
242,Ken Gerhart,R,72,190,0.221,24,Right
1122,Ken Harrelson,R,74,190,0.239,131,Right
217,Ken Henderson,B,74,180,0.257,122,Both
404,Ken Holtzman,R,74,175,0.163,2,Right
1018,Ken Hubbs,R,74,175,0.247,14,Right
437,Ken Landreaux,L,70,165,0.268,91,Left
125,Ken McMullen,R,75,190,0.248,156,Right
831,Ken Phelps,L,73,209,0.239,123,Left
396,Ken Reitz,R,72,180,0.26,68,Right
643,Ken Retzer,L,72,185,0.264,14,Left
742,Ken Rudolph,R,73,180,0.213,6,Right
99,Ken Singleton,B,76,210,0.282,246,Both
778,Ken Suarez,R,69,175,0.227,5,Right
535,Ken Walters,R,73,180,0.231,11,Right
96,Kevin Bearse,L,74,195,0.0,0,Left
406,Kevin Bell,R,72,195,0.222,13,Right
47,Kevin Mmahat,L,77,220,0.0,0,Left
54,Kevin Stanfield,L,72,190,0.0,0,Left
664,Kiko Garcia,R,71,180,0.239,12,Right
64,Kurt Bevacqua,R,72,180,0.236,27,Right
371,Lafayette Currence,B,71,175,0.0,0,Both
430,Lamar Johnson,R,74,215,0.287,64,Right
597,Larry Anderson,R,75,190,0.0,0,Right
373,Larry Biittner,L,74,205,0.273,29,Left
541,Larry Bowa,B,70,155,0.26,15,Both
93,Larry Brown,R,70,160,0.233,47,Right
231,Larry Cox,R,70,178,0.221,12,Right
40,Larry Dierker,R,76,215,0.136,4,Right
196,Larry Haney,R,74,195,0.215,12,Right
1089,Larry Harlow,L,74,185,0.248,12,Left
711,Larry Herndon,R,75,190,0.274,107,Right
294,Larry Hisle,R,74,193,0.273,166,Right
521,Larry Lintz,B,69,150,0.227,0,Both
665,Larry Milbourne,B,72,161,0.254,11,Both
900,Larry Monroe,R,76,200,0.0,0,Right
360,Larry Parrish,R,75,190,0.263,256,Right
1155,Larry Pashnick,R,75,205,0.0,0,Right
1150,Larry Rothschild,L,74,180,0.0,0,Left
262,Larry Stahl,L,72,175,0.232,36,Left
409,Larvell Blanks,R,68,167,0.253,20,Right
23,Lee Lacy,R,73,175,0.286,91,Right
813,Lee May,R,75,195,0.267,354,Right
979,Lee Mazzilli,B,73,180,0.259,93,Both
675,Lee Thomas,L,74,195,0.255,106,Left
948,Len Gabrielson,L,76,210,0.253,37,Left
745,Len Matuszek,L,74,190,0.234,30,Left
772,Len Randle,B,70,169,0.257,27,Both
322,Len Whitehouse,L,71,175,0.0,0,Left
464,Lenn Sakata,R,69,160,0.23,25,Right
480,Lenny Faedo,R,72,170,0.251,5,Right
1066,Leo Cardenas,R,71,150,0.257,118,Right
251,Leon Durham,L,73,185,0.277,147,Left
195,Leon Hooten,R,71,180,0.0,0,Right
946,Leon Roberts,R,75,200,0.267,78,Right
1020,Leron Lee,L,72,196,0.25,31,Left
320,Leroy Stanton,R,73,195,0.244,77,Right
859,Les Straker,R,73,193,0.0,0,Right
114,Lou Brock,L,71,170,0.293,149,Left
230,Lou Clinton,R,73,185,0.247,65,Right
642,Lou Johnson,R,71,170,0.258,48,Right
878,Lou Piniella,R,72,182,0.291,102,Right
769,Luis Aguayo,R,69,173,0.236,37,Right
359,Luis Alvarado,R,69,162,0.214,5,Right
680,Luis Aponte,R,72,185,0.0,0,Right
497,Luis Encarnacion,R,70,178,0.0,0,Right
1141,Luis Gomez,R,69,150,0.21,0,Right
1130,Luis Melendez,R,72,165,0.248,9,Right
925,Luis Pujols,R,74,175,0.193,6,Right
814,Luis Quintana,L,74,175,0.0,0,Left
636,Luis Sanchez,R,74,170,0.0,0,Right
943,Luis Tiant,R,72,180,0.164,5,Right
861,Lyman Bostock,L,73,180,0.311,23,Left
776,Lynn Jones,R,69,175,0.252,7,Right
700,Mack Jones,L,73,180,0.252,133,Left
130,Manny Castillo,B,69,160,0.242,3,Both
214,Manny Jimenez,L,73,185,0.272,26,Left
835,Manny Mota,R,70,160,0.304,31,Right
433,Manny Sanguillen,R,72,193,0.296,65,Right
1032,Manny Trillo,R,73,150,0.263,61,Right
169,Marc Hill,R,75,205,0.223,34,Right
732,Mario Guerrero,R,70,155,0.257,7,Right
292,Mario Mendoza,R,71,170,0.215,4,Right
990,Mario Soto,R,72,174,0.132,1,Right
306,Mark Belanger,R,73,170,0.228,20,Right
1043,Mark Brouhard,R,73,210,0.259,25,Right
318,Mark Brown,B,74,190,0.0,0,Both
798,Mark Ciardi,R,72,180,0.0,0,Right
765,Mark Clear,R,76,200,0.0,0,Right
696,Mark Esser,R,73,190,0.0,0,Right
658,Mark Mercer,L,77,220,0.0,0,Left
300,Mark Smith,R,74,215,0.0,0,Right
790,Mark Souza,L,72,180,0.0,0,Left
970,Mark Wagner,R,72,165,0.243,3,Right
97,Marty Martinez,B,72,170,0.243,0,Both
1056,Marty Perez,R,71,160,0.246,22,Right
325,Marv Breeding,R,72,175,0.25,7,Right
585,Marvell Wynne,L,71,175,0.247,40,Left
806,Matt Williams,R,73,200,0.0,0,Right
547,Matty Alou,L,69,160,0.307,31,Left
856,Max Alvis,R,71,185,0.247,111,Right
939,Mel Stottlemyre,R,72,190,0.0,0,Right
375,Mel Stottlemyre,R,73,178,0.16,7,Right
860,Merritt Ranew,L,71,170,0.247,8,Left
78,Merv Rettenmund,R,70,190,0.271,66,Right
1085,Mick Kelleher,R,69,176,0.213,0,Right
456,Mickey Brantley,R,70,180,0.259,32,Right
593,Mickey Hatcher,R,74,200,0.28,38,Right
319,Mickey Klutts,R,71,170,0.241,14,Right
73,Mickey Lolich,B,73,170,0.11,0,Both
417,Mickey Rivers,L,70,165,0.295,61,Left
928,Mickey Stanley,R,73,185,0.248,117,Right
626,Miguel Dilone,B,72,160,0.265,6,Both
1036,Mike Anderson,R,74,200,0.246,28,Right
556,Mike Andrews,R,75,195,0.258,66,Right
916,Mike Bacsik,R,74,180,0.0,0,Right
644,Mike Brown,R,74,195,0.265,23,Right
645,Mike Brown,R,74,195,0.0,0,Right
965,Mike Brumley,L,70,195,0.229,5,Left
223,Mike Champion,R,72,185,0.229,2,Right
858,Mike Cubbage,L,72,180,0.258,34,Left
269,Mike Darr,R,76,190,0.0,0,Right
411,Mike Davis,L,74,175,0.259,91,Left
492,Mike Diaz,R,74,195,0.247,31,Right
299,Mike Easler,L,72,190,0.293,118,Left
619,Mike Edwards,R,70,154,0.25,2,Right
1090,Mike Epstein,L,75,230,0.244,130,Left
625,Mike Fiore,L,72,175,0.227,13,Left
1049,Mike Fischlin,R,73,165,0.22,3,Right
802,Mike Hargrove,L,72,195,0.29,80,Left
491,Mike Hegan,L,73,188,0.242,53,Left
243,Mike Hershberger,R,70,175,0.252,26,Right
582,Mike Ivie,R,75,205,0.269,81,Right
135,Mike Jones,L,78,215,0.0,0,Left
1100,Mike Jorgensen,L,72,195,0.243,95,Left
716,Mike Kinnunen,L,73,185,0.0,0,Left
882,Mike Krukow,R,77,205,0.193,5,Right
117,Mike Loynd,R,76,210,0.0,0,Right
758,Mike Lum,L,72,180,0.247,90,Left
734,Mike Overy,R,74,190,0.0,0,Right
674,Mike Parrott,R,76,210,0.0,0,Right
752,Mike Paxton,R,71,190,0.0,0,Right
771,Mike Pazik,L,74,195,0.0,0,Left
165,Mike Phillips,L,72,170,0.24,11,Left
131,Mike Ramsey,B,73,170,0.24,2,Both
178,Mike Richardt,R,72,170,0.226,4,Right
488,Mike Rochford,L,76,205,0.0,0,Left
5,Mike Ryan,R,74,205,0.193,28,Right
305,Mike Sadek,R,69,165,0.226,5,Right
995,Mike Schmidt,R,74,195,0.267,548,Right
1095,Mike Shannon,R,75,195,0.255,68,Right
247,Mike Smith,R,75,180,0.0,0,Right
394,Mike Smithson,L,80,215,0.0,0,Left
998,Mike Squires,L,71,185,0.26,6,Left
105,Mike Trujillo,R,73,180,0.0,0,Right
274,Mike Tyson,R,69,170,0.241,27,Right
368,Mike Vail,R,73,180,0.279,34,Right
971,Mike Walters,R,77,203,0.0,0,Right
590,Mike Warren,R,73,175,0.0,0,Right
1112,Mike Willis,L,74,205,0.0,0,Left
1045,Mike Young,B,74,195,0.247,72,Both
259,Mike de la Hoz,R,71,175,0.251,25,Right
367,Milt May,L,72,190,0.263,77,Left
663,Mitchell Page,L,74,205,0.266,72,Left
298,Narciso Elvira,L,70,160,0.0,0,Left
30,Nardi Contreras,B,74,193,0.0,0,Both
232,Nate Colbert,R,74,190,0.243,173,Right
740,Nate Oliver,R,70,160,0.226,2,Right
588,Ned Yost,R,73,190,0.212,16,Right
520,Nelson Mathews,R,76,195,0.223,22,Right
369,Nick Esasky,R,75,200,0.25,122,Right
909,Norm Miller,L,70,185,0.238,24,Left
902,Ollie Brown,R,74,178,0.265,102,Right
87,Omar Moreno,L,74,180,0.252,37,Left
568,Onix Concepcion,R,66,160,0.239,3,Right
681,Orlando Mercado,R,72,180,0.199,7,Right
350,Oscar Gamble,L,71,160,0.265,200,Left
107,Oswaldo Peraza,R,76,172,0.0,0,Right
108,Otto Velez,R,72,170,0.251,78,Right
9,Ozzie Osborn,R,74,195,0.0,0,Right
162,Ozzie Virgil,R,73,180,0.243,98,Right
273,Pat Corrales,R,72,180,0.216,4,Right
819,Pat Kelly,L,73,185,0.264,76,Left
63,Pat Putnam,L,72,205,0.255,63,Left
164,Pat Underwood,L,72,175,0.0,0,Left
355,Paul Blair,R,72,168,0.25,134,Right
683,Paul Boris,R,74,200,0.0,0,Right
225,Paul Casanova,R,76,180,0.225,50,Right
537,Paul Dade,R,73,185,0.27,10,Right
221,Paul Hartzell,R,77,200,0.0,0,Right
253,Paul Householder,B,72,180,0.236,29,Both
301,Paul Mitchell,R,73,195,0.0,0,Right
677,Paul Popovich,B,72,175,0.233,14,Both
729,Paul Schaal,R,71,165,0.244,57,Right
950,Paul Wilmet,R,71,170,0.0,0,Right
421,Pedro Garcia,R,70,175,0.22,37,Right
29,Pedro Gonzalez,R,72,176,0.244,8,Right
994,Pepe Frias,R,70,159,0.24,1,Right
1019,Pepe Mangual,R,70,157,0.242,16,Right
548,Pete Filson,B,74,195,0.0,0,Both
544,Pete LaCock,L,74,200,0.257,27,Left
1083,Pete Mackanin,R,74,190,0.226,30,Right
24,Pete Rose,B,71,192,0.303,160,Both
405,Pete Ward,L,73,185,0.254,98,Left
931,Phil Bradley,R,72,185,0.286,78,Right
661,Phil Gagliano,R,73,180,0.238,14,Right
1154,Phil Garner,R,70,175,0.26,109,Right
922,Phil Huffman,R,74,180,0.0,0,Right
834,Phil Linz,R,73,180,0.235,11,Right
755,Phil Mankowski,L,72,180,0.264,8,Left
1134,Phil Niekro,R,73,180,0.169,7,Right
233,Phil Roof,R,74,190,0.215,43,Right
673,R.J. Reynolds,B,72,190,0.267,35,Both
275,Rafael Landestoy,B,70,165,0.237,4,Both
524,Rafael Santana,R,73,165,0.246,13,Right
321,Rafael Vasquez,R,72,160,0.0,0,Right
224,Ralph Botting,L,72,195,0.0,0,Left
934,Ralph Garr,L,71,185,0.306,75,Left
137,Ramon Manon,R,72,150,0.0,0,Right
723,Ramon Pena,R,70,155,0.0,0,Right
633,Randy Hundley,R,71,170,0.236,82,Right
466,Randy Jones,R,72,178,0.132,0,Right
296,Randy Nosek,R,76,215,0.0,0,Right
126,Randy Scarbery,B,73,185,0.0,0,Both
509,Randy Wiles,L,73,185,0.0,0,Left
947,Ray Burris,R,77,200,0.151,1,Right
74,Ray Chadwick,B,74,180,0.0,0,Both
977,Ray Culp,R,72,200,0.123,1,Right
676,Ray Fosse,R,74,215,0.256,61,Right
689,Ray Knight,R,73,185,0.271,84,Right
110,Ray Oyler,R,71,165,0.175,15,Right
741,Ray Sadecki,L,71,180,0.191,5,Left
448,Ray Webster,L,72,185,0.244,17,Left
656,Reggie Jackson,L,72,195,0.262,563,Left
420,Reggie Ritter,L,74,195,0.0,0,Left
959,Reggie Smith,B,72,180,0.287,314,Both
941,Reid Nichols,R,71,165,0.266,22,Right
551,Rennie Stennett,R,71,160,0.274,41,Right
997,Rey Quinones,R,71,160,0.243,29,Right
781,Rich Barnes,R,76,186,0.0,0,Right
343,Rich Chiles,L,71,170,0.254,6,Left
660,Rich Coggins,L,68,170,0.265,12,Left
1084,Rich Dauer,R,72,180,0.257,43,Right
554,Rich McKinney,R,71,185,0.225,20,Right
157,Rich Morales,R,71,170,0.195,6,Right
516,Rich Reese,L,75,185,0.253,52,Left
76,Rich Rollins,R,70,185,0.269,77,Right
911,Rich Wortham,R,72,185,0.0,0,Right
803,Rich Yett,R,74,187,0.0,0,Right
608,Richie Hebner,L,73,195,0.276,203,Left
486,Richie Scheinblum,B,73,180,0.263,13,Both
381,Richie Zisk,R,73,200,0.287,207,Right
808,Rick Anderson,R,74,210,0.0,0,Right
822,Rick Auerbach,R,72,165,0.22,9,Right
237,Rick Bosetti,R,71,185,0.25,17,Right
796,Rick Burleson,R,70,165,0.273,50,Right
315,Rick Henninger,R,78,225,0.0,0,Right
794,Rick Jones,L,77,190,0.0,0,Left
1102,Rick Joseph,R,73,192,0.243,13,Right
498,Rick Kreuger,R,74,185,0.0,0,Right
1087,Rick Leach,L,73,180,0.268,18,Left
930,Rick Lysander,R,74,190,0.0,0,Right
284,Rick Manning,L,73,180,0.257,56,Left
1139,Rick Miller,L,72,175,0.269,28,Left
304,Rick Monday,L,75,193,0.264,241,Left
779,Rick Peters,B,69,170,0.277,2,Both
942,Rick Reichardt,R,75,210,0.261,116,Right
816,Rick Renick,R,72,188,0.221,20,Right
186,Rick Rhoden,R,75,195,0.238,9,Right
838,Rick Sofield,L,73,195,0.243,9,Left
1013,Rick Steirer,R,76,200,0.0,0,Right
302,Rick Sweet,B,73,200,0.234,6,Both
15,Rick Wise,R,73,180,0.195,15,Right
754,Rickey Keeton,R,74,190,0.0,0,Right
857,Rico Carty,R,75,200,0.299,204,Right
121,Rico Petrocelli,R,72,175,0.251,210,Right
1003,Rob Andrews,R,72,185,0.251,3,Right
507,Rob Picciolo,R,74,185,0.234,17,Right
504,Rob Wilfong,L,73,180,0.248,39,Left
458,Rob Woodward,R,75,185,0.0,0,Right
510,Roberto Pena,R,68,170,0.245,13,Right
281,Rod Carew,L,72,170,0.328,92,Left
1042,Rod Gilbreath,R,74,180,0.248,14,Right
8,Rod Kanehl,R,73,180,0.241,6,Right
659,Rodney Scott,B,72,160,0.236,3,Both
279,Roger Freed,R,72,190,0.245,22,Right
446,Roger Metzger,B,72,165,0.231,5,Both
840,Roger Miller,R,75,200,0.0,0,Right
594,Roger Repoz,L,75,190,0.224,82,Left
901,Roger Slagle,R,75,190,0.0,0,Right
502,Roger Weaver,R,75,190,0.0,0,Right
983,Ron Blomberg,L,73,195,0.293,52,Left
1065,Ron Brand,R,67,167,0.239,3,Right
1069,Ron Cey,R,70,185,0.261,316,Right
887,Ron Clark,R,70,175,0.189,5,Right
1094,Ron Davis,R,72,175,0.233,10,Right
1118,Ron Gardenhire,R,72,175,0.232,4,Right
342,Ron Hodges,L,73,185,0.24,19,Left
307,Ron Hunt,R,72,186,0.273,39,Right
445,Ron Jackson,R,72,200,0.259,56,Right
1072,Ron LeFlore,R,72,200,0.288,59,Right
377,Ron Musselman,R,74,185,0.0,0,Right
669,Ron Oester,B,74,185,0.265,42,Both
238,Ron Pruitt,R,72,185,0.269,12,Right
960,Ron Reed,R,78,215,0.158,0,Right
735,Ron Roenicke,B,72,180,0.238,17,Both
145,Ron Romanick,R,76,195,0.0,0,Right
166,Ron Santo,R,72,190,0.277,342,Right
780,Ron Stone,L,74,185,0.241,6,Left
1007,Ron Swoboda,R,74,195,0.242,73,Right
522,Ron Theobald,R,68,165,0.248,2,Right
844,Ron Washington,R,71,155,0.261,20,Right
631,Ron Woods,R,70,168,0.233,26,Right
1086,Rowland Office,L,72,170,0.259,32,Left
439,Roy Branch,R,72,175,0.0,0,Right
1029,Roy Foster,R,72,185,0.253,45,Right
865,Roy Howell,L,73,190,0.261,80,Left
378,Roy Smalley,B,73,185,0.257,163,Both
964,Roy White,B,70,160,0.271,160,Both
616,Rudy Law,L,73,165,0.271,18,Left
918,Rudy Meoli,L,69,165,0.212,2,Left
447,Rufino Linares,R,72,170,0.27,11,Right
919,Ruppert Jones,L,70,170,0.25,147,Left
921,Russ Gibson,R,73,195,0.228,8,Right
348,Rusty Staub,L,74,190,0.279,292,Left
91,Rusty Torres,B,70,175,0.212,35,Both
267,Sal Bando,R,72,195,0.254,242,Right
148,Sal Butera,R,72,190,0.227,8,Right
767,Sam Bowens,R,73,188,0.223,45,Right
1145,Sam Hinds,R,78,215,0.0,0,Right
815,Sam McDowell,L,77,190,0.154,2,Left
611,Sandy Alomar,B,69,140,0.245,13,Both
827,Sandy Valdespino,L,68,170,0.23,7,Left
867,Sandy Wihtol,R,73,195,0.0,0,Right
58,Scot Thompson,L,75,195,0.262,5,Left
1053,Shawn Holman,R,74,185,0.0,0,Right
364,Sherman Corbett,L,76,205,0.0,0,Left
1014,Sixto Lezcano,R,70,165,0.271,148,Right
1070,Skip Jutze,R,71,190,0.215,3,Right
657,Sonny Jackson,L,69,150,0.251,7,Left
868,Sonny Siebert,R,75,190,0.173,12,Right
503,Stan Papi,R,72,170,0.218,7,Right
898,Stan Thomas,R,74,185,0.0,0,Right
1124,Stefan Wever,R,80,245,0.0,0,Right
326,Steve Adkins,R,78,210,0.0,0,Right
907,Steve Barber,L,72,195,0.115,5,Left
630,Steve Barr,L,76,200,0.0,0,Left
737,Steve Blass,R,72,165,0.172,1,Right
688,Steve Braun,L,70,180,0.271,52,Left
929,Steve Brown,R,77,200,0.0,0,Right
444,Steve Brye,R,72,190,0.258,30,Right
286,Steve Burke,B,74,200,0.0,0,Both
973,Steve Carlton,L,76,210,0.201,13,Left
560,Steve Cummings,B,74,200,0.0,0,Both
71,Steve Curry,R,78,217,0.0,0,Right
649,Steve Davis,L,73,195,0.0,0,Left
530,Steve Dillard,R,73,180,0.243,13,Right
44,Steve Eddy,R,74,185,0.0,0,Right
1068,Steve Ellsworth,R,80,220,0.0,0,Right
575,Steve Garvey,R,70,192,0.294,272,Right
506,Steve Henderson,R,74,190,0.28,68,Right
804,Steve Hovley,L,70,188,0.258,8,Left
478,Steve Huntz,B,73,204,0.206,16,Both
113,Steve Jeltz,B,71,180,0.21,5,Both
795,Steve Kemp,L,72,195,0.278,130,Left
84,Steve Lombardozzi,R,72,175,0.233,20,Right
1081,Steve Nicosia,R,70,185,0.248,11,Right
1022,Steve Ontiveros,B,72,185,0.274,24,Both
837,Steve Renko,R,77,230,0.215,6,Right
226,Steve Rogers,R,74,175,0.138,0,Right
828,Steve Senteney,R,74,205,0.0,0,Right
127,Steve Swisher,R,74,205,0.216,20,Right
213,Steve Whitaker,L,72,180,0.23,24,Left
413,Steve Yeager,R,72,190,0.228,102,Right
66,Syd O'Brien,R,73,185,0.23,24,Right
249,T.R. Bryden,R,76,190,0.0,0,Right
452,Ted Cox,R,75,195,0.245,10,Right
53,Ted Ford,R,70,180,0.219,17,Right
336,Ted Kubiak,B,72,175,0.231,13,Both
462,Ted Martinez,R,72,165,0.24,7,Right
1082,Ted Savage,R,73,185,0.233,34,Right
786,Ted Simmons,B,71,193,0.285,248,Both
399,Ted Sizemore,R,70,165,0.262,23,Right
785,Ted Uhlaender,L,74,190,0.263,36,Left
228,Terry Crowley,L,72,180,0.25,42,Left
763,Terry Felton,R,73,180,0.0,0,Right
923,Terry Francona,L,73,190,0.274,16,Left
801,Terry Harmon,R,74,180,0.233,4,Right
647,Terry Harper,R,76,195,0.253,36,Right
331,Terry Humphrey,R,75,185,0.211,6,Right
290,Terry Taylor,R,73,180,0.0,0,Right
291,Terry Whitfield,L,73,197,0.281,33,Left
1063,Terry Wilshusen,R,74,210,0.0,0,Right
691,Thad Bosley,L,75,175,0.272,20,Left
303,Thurman Munson,R,71,190,0.292,113,Right
985,Tim Blackwell,B,71,170,0.228,6,Both
542,Tim Corcoran,L,71,175,0.27,12,Left
235,Tim Cullen,R,73,185,0.22,9,Right
139,Tim Flannery,L,71,175,0.255,9,Left
493,Tim Foli,R,72,179,0.251,25,Right
236,Tim Harkness,L,74,182,0.235,14,Left
539,Tim Johnson,L,73,170,0.223,0,Left
495,Tim Laudner,R,75,212,0.225,77,Right
1064,Tito Fuentes,B,71,175,0.268,45,Both
730,Tito Landrum,R,71,175,0.249,13,Right
283,Toby Harrah,R,72,175,0.264,195,Right
851,Todd Cruz,R,72,175,0.22,34,Right
1156,Todd Fischer,R,70,170,0.0,0,Right
103,Tom Brookens,R,70,165,0.246,71,Right
0,Tom Brown,R,73,170,0.0,0,Right
896,Tom Buskey,R,75,200,0.0,0,Right
1005,Tom Dozier,R,74,190,0.0,0,Right
852,Tom Egan,R,76,218,0.2,22,Right
338,Tom Gilles,R,73,185,0.0,0,Right
951,Tom Grieve,R,74,190,0.249,65,Right
1004,Tom Haller,L,76,195,0.257,134,Left
341,Tom Hutton,L,71,180,0.248,22,Left
710,Tom Klawitter,R,74,190,0.0,0,Right
1024,Tom Lawless,R,71,170,0.207,2,Right
252,Tom Makowski,R,71,185,0.0,0,Right
1057,Tom Matchick,L,73,173,0.215,4,Left
1021,Tom McCarthy,R,72,180,0.0,0,Right
407,Tom Nieto,R,73,193,0.205,5,Right
1153,Tom O'Malley,L,72,180,0.256,13,Left
344,Tom Paciorek,R,76,215,0.282,86,Right
1136,Tom Poquette,L,70,175,0.268,10,Left
68,Tom Satriano,L,73,185,0.225,21,Left
652,Tom Seaver,R,73,195,0.154,12,Right
733,Tom Tresh,B,73,180,0.245,153,Both
564,Tom Veryzer,R,73,175,0.241,14,Right
529,Tommie Aaron,R,75,190,0.229,13,Right
782,Tommie Agee,R,71,195,0.255,130,Right
31,Tommie Reynolds,R,74,190,0.226,12,Right
94,Tommy Dean,R,72,165,0.18,4,Right
854,Tommy Harper,R,69,165,0.257,146,Right
875,Tommy Helms,R,70,165,0.269,34,Right
935,Tommy John,R,75,180,0.157,5,Right
