,Name,handedness,Height(Inch),Weight(Pound),Avg(%),HR,Hand
563,Jim Price,R,72,192,0.214,18,Right
564,Jim Ray Hart,R,71,185,0.278,170,Right
565,Jim Rice,R,74,200,0.298,382,Right
566,Jim Rooker,R,72,195,0.201,7,Right
567,Jim Siwy,R,76,200,0,0,Right
568,Jim Spencer,L,74,195,0.25,146,Left
569,Jim Sundberg,R,72,190,0.248,95,Right
570,Jim Traber,L,72,194,0.227,27,Left
571,Jim Umbarger,L,78,200,0,0,Left
572,Jim Wohlford,R,71,175,0.26,21,Right
573,Jim Wright,R,77,205,0,0,Right
574,Jim Wright,R,73,165,0,0,Right
575,Jimmie Hall,L,72,175,0.254,121,Left
576,Jimmie Schaffer,R,69,170,0.223,11,Right
577,Jimmy Stewart,B,72,165,0.237,8,Both
578,Jimmy Wynn,R,70,160,0.25,291,Right
579,Joaquin Andujar,B,72,170,0.127,5,Both
580,Jody Davis,R,76,192,0.245,127,Right
581,Joe Azcue,R,72,190,0.252,50,Right
582,Joe Charboneau,R,74,205,0.266,29,Right
583,Joe Ferguson,R,74,200,0.24,122,Right
584,Joe Foy,R,72,215,0.248,58,Right
585,Joe Gaines,R,73,190,0.241,21,Right
586,Joe Hague,L,72,195,0.239,40,Left
587,Joe Horlen,R,72,170,0.134,0,Right
588,Joe Keough,L,72,185,0.246,9,Left
589,Joe Lahoud,L,73,198,0.223,65,Left
590,Joe Lefebvre,L,70,170,0.258,31,Left
591,Joe Lis,R,72,175,0.233,32,Right
592,Joe Lovitto,B,72,185,0.216,4,Both
593,Joe Morgan,L,67,160,0.271,268,Left
594,Joe Niekro,R,73,185,0.156,1,Right
595,Joe Nolan,L,71,175,0.263,27,Left
596,Joe Nossek,R,72,178,0.228,3,Right
597,Joe Pactwa,L,71,185,0,0,Left
598,Joe Pepitone,L,74,185,0.258,219,Left
599,Joe Rudi,R,74,200,0.264,179,Right
600,Joe Simpson,L,75,175,0.242,9,Left
601,Joe Skalski,R,75,190,0,0,Right
602,Joe Strain,R,70,169,0.25,1,Right
603,Joe Torre,R,74,212,0.297,252,Right
604,Joe Wallis,B,71,180,0.244,16,Both
605,Joel Davis,L,77,205,0,0,Left
606,Joel McKeon,L,72,185,0,0,Left
607,Joel Youngblood,R,72,180,0.265,80,Right
608,John Bateman,R,75,210,0.23,81,Right
609,John Boccabella,R,73,195,0.219,26,Right
610,John Bohnet,B,72,175,0,0,Both
611,John Butcher,R,76,185,0,0,Right
612,John Caneira,R,75,180,0,0,Right
613,John Castino,R,71,175,0.278,41,Right
614,John Denny,R,75,185,0.17,0,Right
615,John Donaldson,L,71,160,0.238,4,Left
616,John Ellis,R,74,225,0.262,69,Right
617,John Flinn,R,72,175,0,0,Right
618,John Hale,L,74,195,0.201,14,Left
619,John Hobbs,R,75,190,0,0,Right
620,John Hoover,R,74,190,0,0,Right
621,John Kennedy,R,72,185,0.225,32,Right
622,John LaRose,L,73,185,0,0,Left
623,John Leister,R,74,200,0,0,Right
624,John Lowenstein,L,72,175,0.253,116,Left
625,John Mayberry,L,75,215,0.253,255,Left
626,John Milner,L,72,185,0.249,131,Left
627,John Orsino,R,75,215,0.249,40,Right
628,John Pawlowski,R,74,175,0,0,Right
629,John Poloni,L,77,210,0,0,Left
630,John Stearns,R,72,185,0.26,46,Right
631,John Stephenson,L,71,180,0.216,12,Left
632,John Trautwein,R,75,205,0,0,Right
633,John Vukovich,R,73,187,0.161,6,Right
634,John Wathan,R,74,205,0.262,21,Right
635,John Wockenfuss,R,72,190,0.262,86,Right
636,Johnnie LeMaster,R,74,165,0.222,22,Right
637,Johnny Bench,R,73,197,0.267,389,Right
638,Johnny Briggs,L,73,190,0.253,139,Left
639,Johnny Edwards,L,76,220,0.242,81,Left
640,Johnny Grubb,L,75,175,0.278,99,Left
641,Johnny Jeter,R,73,180,0.244,18,Right
642,Johnny Lewis,L,73,189,0.227,22,Left
643,Johnny Oates,L,71,188,0.25,14,Left
644,Johnny Ray,B,71,170,0.29,53,Both
645,Jorge Orta,L,70,170,0.278,130,Left
646,Jose Arcia,R,75,170,0.215,1,Right
647,Jose Cardenal,R,70,150,0.275,138,Right
648,Jose Cecena,R,71,180,0,0,Right
649,Jose Cruz,L,72,170,0.284,165,Left
650,Jose Morales,R,71,187,0.287,26,Right
651,Jose Roman,R,72,175,0,0,Right
652,Jose Tartabull,L,71,165,0.261,2,Left
653,Juan Beniquez,R,71,150,0.274,79,Right
654,Juan Bonilla,R,69,170,0.256,7,Right
655,Juan Marichal,R,72,185,0.165,4,Right
656,Juan Nieves,L,75,175,0,0,Left
657,Julian Javier,R,73,175,0.257,78,Right
658,Julio Cruz,B,69,165,0.237,23,Both
659,Julio Gonzalez,R,71,162,0.235,4,Right
660,Julio Gotay,R,72,180,0.26,6,Right
661,Junior Kennedy,R,71,175,0.248,4,Right
662,Junior Moore,R,71,185,0.264,7,Right
663,Karl Best,R,76,190,0,0,Right
664,Keith Creel,R,74,180,0,0,Right
665,Keith Hernandez,L,72,180,0.296,162,Left
666,Keith Macwhorter,R,76,190,0,0,Right
667,Keith Moreland,R,72,190,0.279,121,Right
668,Ken Berry,R,72,175,0.255,58,Right
669,Ken Boswell,L,72,170,0.248,31,Left
670,Ken Gerhart,R,72,190,0.221,24,Right
671,Ken Harrelson,R,74,190,0.239,131,Right
672,Ken Henderson,B,74,180,0.257,122,Both
673,Ken Holtzman,R,74,175,0.163,2,Right
674,Ken Hubbs,R,74,175,0.247,14,Right
675,Ken Landreaux,L,70,165,0.268,91,Left
676,Ken McMullen,R,75,190,0.248,156,Right
677,Ken Phelps,L,73,209,0.239,123,Left
678,Ken Reitz,R,72,180,0.26,68,Right
679,Ken Retzer,L,72,185,0.264,14,Left
680,Ken Rudolph,R,73,180,0.213,6,Right
681,Ken Singleton,B,76,210,0.282,246,Both
682,Ken Suarez,R,69,175,0.227,5,Right
683,Ken Walters,R,73,180,0.231,11,Right
684,Kevin Bearse,L,74,195,0,0,Left
685,Kevin Bell,R,72,195,0.222,13,Right
686,Kevin Mmahat,L,77,220,0,0,Left
687,Kevin Stanfield,L,72,190,0,0,Left
688,Kiko Garcia,R,71,180,0.239,12,Right
689,Kurt Bevacqua,R,72,180,0.236,27,Right
690,Lafayette Currence,B,71,175,0,0,Both
691,Lamar Johnson,R,74,215,0.287,64,Right
692,Larry Anderson,R,75,190,0,0,Right
693,Larry Biittner,L,74,205,0.273,29,Left
694,Larry Bowa,B,70,155,0.26,15,Both
695,Larry Brown,R,70,160,0.233,47,Right
696,Larry Cox,R,70,178,0.221,12,Right
697,Larry Dierker,R,76,215,0.136,4,Right
698,Larry Haney,R,74,195,0.215,12,Right
699,Larry Harlow,L,74,185,0.248,12,Left
700,Larry Herndon,R,75,190,0.274,107,Right
701,Larry Hisle,R,74,193,0.273,166,Right
702,Larry Lintz,B,69,150,0.227,0,Both
703,Larry Milbourne,B,72,161,0.254,11,Both
704,Larry Monroe,R,76,200,0,0,Right
705,Larry Parrish,R,75,190,0.263,256,Right
706,Larry Pashnick,R,75,205,0,0,Right
707,Larry Rothschild,L,74,180,0,0,Left
708,Larry Stahl,L,72,175,0.232,36,Left
709,Larvell Blanks,R,68,167,0.253,20,Right
710,Lee Lacy,R,73,175,0.286,91,Right
711,Lee May,R,75,195,0.267,354,Right
712,Lee Mazzilli,B,73,180,0.259,93,Both
713,Lee Thomas,L,74,195,0.255,106,Left
714,Len Gabrielson,L,76,210,0.253,37,Left
715,Len Matuszek,L,74,190,0.234,30,Left
716,Len Randle,B,70,169,0.257,27,Both
717,Len Whitehouse,L,71,175,0,0,Left
718,Lenn Sakata,R,69,160,0.23,25,Right
719,Lenny Faedo,R,72,170,0.251,5,Right
720,Leo Cardenas,R,71,150,0.257,118,Right
721,Leon Durham,L,73,185,0.277,147,Left
722,Leon Hooten,R,71,180,0,0,Right
723,Leon Roberts,R,75,200,0.267,78,Right
724,Leron Lee,L,72,196,0.25,31,Left
725,Leroy Stanton,R,73,195,0.244,77,Right
726,Les Straker,R,73,193,0,0,Right
727,Lou Brock,L,71,170,0.293,149,Left
728,Lou Clinton,R,73,185,0.247,65,Right
729,Lou Johnson,R,71,170,0.258,48,Right
730,Lou Piniella,R,72,182,0.291,102,Right
731,Luis Aguayo,R,69,173,0.236,37,Right
732,Luis Alvarado,R,69,162,0.214,5,Right
733,Luis Aponte,R,72,185,0,0,Right
734,Luis Encarnacion,R,70,178,0,0,Right
735,Luis Gomez,R,69,150,0.21,0,Right
736,Luis Melendez,R,72,165,0.248,9,Right
737,Luis Pujols,R,74,175,0.193,6,Right
738,Luis Quintana,L,74,175,0,0,Left
739,Luis Sanchez,R,74,170,0,0,Right
740,Luis Tiant,R,72,180,0.164,5,Right
741,Lyman Bostock,L,73,180,0.311,23,Left
742,Lynn Jones,R,69,175,0.252,7,Right
743,Mack Jones,L,73,180,0.252,133,Left
744,Manny Castillo,B,69,160,0.242,3,Both
745,Manny Jimenez,L,73,185,0.272,26,Left
746,Manny Mota,R,70,160,0.304,31,Right
747,Manny Sanguillen,R,72,193,0.296,65,Right
748,Manny Trillo,R,73,150,0.263,61,Right
749,Marc Hill,R,75,205,0.223,34,Right
750,Mario Guerrero,R,70,155,0.257,7,Right
751,Mario Mendoza,R,71,170,0.215,4,Right
752,Mario Soto,R,72,174,0.132,1,Right
753,Mark Belanger,R,73,170,0.228,20,Right
754,Mark Brouhard,R,73,210,0.259,25,Right
755,Mark Brown,B,74,190,0,0,Both
756,Mark Ciardi,R,72,180,0,0,Right
757,Mark Clear,R,76,200,0,0,Right
758,Mark Esser,R,73,190,0,0,Right
759,Mark Mercer,L,77,220,0,0,Left
760,Mark Smith,R,74,215,0,0,Right
761,Mark Souza,L,72,180,0,0,Left
762,Mark Wagner,R,72,165,0.243,3,Right
763,Marty Martinez,B,72,170,0.243,0,Both
764,Marty Perez,R,71,160,0.246,22,Right
765,Marv Breeding,R,72,175,0.25,7,Right
766,Marvell Wynne,L,71,175,0.247,40,Left
767,Matt Williams,R,73,200,0,0,Right
768,Matty Alou,L,69,160,0.307,31,Left
769,Max Alvis,R,71,185,0.247,111,Right
770,Mel Stottlemyre,R,72,190,0,0,Right
771,Mel Stottlemyre,R,73,178,0.16,7,Right
772,Merritt Ranew,L,71,170,0.247,8,Left
773,Merv Rettenmund,R,70,190,0.271,66,Right
774,Mick Kelleher,R,69,176,0.213,0,Right
775,Mickey Brantley,R,70,180,0.259,32,Right
776,Mickey Hatcher,R,74,200,0.28,38,Right
777,Mickey Klutts,R,71,170,0.241,14,Right
778,Mickey Lolich,B,73,170,0.11,0,Both
779,Mickey Rivers,L,70,165,0.295,61,Left
780,Mickey Stanley,R,73,185,0.248,117,Right
781,Miguel Dilone,B,72,160,0.265,6,Both
782,Mike Anderson,R,74,200,0.246,28,Right
783,Mike Andrews,R,75,195,0.258,66,Right
784,Mike Bacsik,R,74,180,0,0,Right
785,Mike Brown,R,74,195,0.265,23,Right
786,Mike Brown,R,74,195,0,0,Right
787,Mike Brumley,L,70,195,0.229,5,Left
788,Mike Champion,R,72,185,0.229,2,Right
789,Mike Cubbage,L,72,180,0.258,34,Left
790,Mike Darr,R,76,190,0,0,Right
791,Mike Davis,L,74,175,0.259,91,Left
792,Mike Diaz,R,74,195,0.247,31,Right
793,Mike Easler,L,72,190,0.293,118,Left
794,Mike Edwards,R,70,154,0.25,2,Right
795,Mike Epstein,L,75,230,0.244,130,Left
796,Mike Fiore,L,72,175,0.227,13,Left
797,Mike Fischlin,R,73,165,0.22,3,Right
798,Mike Hargrove,L,72,195,0.29,80,Left
799,Mike Hegan,L,73,188,0.242,53,Left
800,Mike Hershberger,R,70,175,0.252,26,Right
801,Mike Ivie,R,75,205,0.269,81,Right
802,Mike Jones,L,78,215,0,0,Left
803,Mike Jorgensen,L,72,195,0.243,95,Left
804,Mike Kinnunen,L,73,185,0,0,Left
805,Mike Krukow,R,77,205,0.193,5,Right
806,Mike Loynd,R,76,210,0,0,Right
807,Mike Lum,L,72,180,0.247,90,Left
808,Mike Overy,R,74,190,0,0,Right
809,Mike Parrott,R,76,210,0,0,Right
810,Mike Paxton,R,71,190,0,0,Right
811,Mike Pazik,L,74,195,0,0,Left
812,Mike Phillips,L,72,170,0.24,11,Left
813,Mike Ramsey,B,73,170,0.24,2,Both
814,Mike Richardt,R,72,170,0.226,4,Right
815,Mike Rochford,L,76,205,0,0,Left
816,Mike Ryan,R,74,205,0.193,28,Right
817,Mike Sadek,R,69,165,0.226,5,Right
818,Mike Schmidt,R,74,195,0.267,548,Right
819,Mike Shannon,R,75,195,0.255,68,Right
820,Mike Smith,R,75,180,0,0,Right
821,Mike Smithson,L,80,215,0,0,Left
822,Mike Squires,L,71,185,0.26,6,Left
823,Mike Trujillo,R,73,180,0,0,Right
824,Mike Tyson,R,69,170,0.241,27,Right
825,Mike Vail,R,73,180,0.279,34,Right
826,Mike Walters,R,77,203,0,0,Right
827,Mike Warren,R,73,175,0,0,Right
828,Mike Willis,L,74,205,0,0,Left
829,Mike Young,B,74,195,0.247,72,Both
830,Mike de la Hoz,R,71,175,0.251,25,Right
831,Milt May,L,72,190,0.263,77,Left
832,Mitchell Page,L,74,205,0.266,72,Left
833,Narciso Elvira,L,70,160,0,0,Left
834,Nardi Contreras,B,74,193,0,0,Both
835,Nate Colbert,R,74,190,0.243,173,Right
836,Nate Oliver,R,70,160,0.226,2,Right
837,Ned Yost,R,73,190,0.212,16,Right
838,Nelson Mathews,R,76,195,0.223,22,Right
839,Nick Esasky,R,75,200,0.25,122,Right
840,Norm Miller,L,70,185,0.238,24,Left
841,Ollie Brown,R,74,178,0.265,102,Right
842,Omar Moreno,L,74,180,0.252,37,Left
843,Onix Concepcion,R,66,160,0.239,3,Right
844,Orlando Mercado,R,72,180,0.199,7,Right
845,Oscar Gamble,L,71,160,0.265,200,Left
846,Oswaldo Peraza,R,76,172,0,0,Right
847,Otto Velez,R,72,170,0.251,78,Right
848,Ozzie Osborn,R,74,195,0,0,Right
849,Ozzie Virgil,R,73,180,0.243,98,Right
850,Pat Corrales,R,72,180,0.216,4,Right
851,Pat Kelly,L,73,185,0.264,76,Left
852,Pat Putnam,L,72,205,0.255,63,Left
853,Pat Underwood,L,72,175,0,0,Left
854,Paul Blair,R,72,168,0.25,134,Right
855,Paul Boris,R,74,200,0,0,Right
856,Paul Casanova,R,76,180,0.225,50,Right
857,Paul Dade,R,73,185,0.27,10,Right
858,Paul Hartzell,R,77,200,0,0,Right
859,Paul Householder,B,72,180,0.236,29,Both
860,Paul Mitchell,R,73,195,0,0,Right
861,Paul Popovich,B,72,175,0.233,14,Both
862,Paul Schaal,R,71,165,0.244,57,Right
863,Paul Wilmet,R,71,170,0,0,Right
864,Pedro Garcia,R,70,175,0.22,37,Right
865,Pedro Gonzalez,R,72,176,0.244,8,Right
866,Pepe Frias,R,70,159,0.24,1,Right
867,Pepe Mangual,R,70,157,0.242,16,Right
868,Pete Filson,B,74,195,0,0,Both
869,Pete LaCock,L,74,200,0.257,27,Left
870,Pete Mackanin,R,74,190,0.226,30,Right
871,Pete Rose,B,71,192,0.303,160,Both
872,Pete Ward,L,73,185,0.254,98,Left
873,Phil Bradley,R,72,185,0.286,78,Right
874,Phil Gagliano,R,73,180,0.238,14,Right
875,Phil Garner,R,70,175,0.26,109,Right
876,Phil Huffman,R,74,180,0,0,Right
877,Phil Linz,R,73,180,0.235,11,Right
878,Phil Mankowski,L,72,180,0.264,8,Left
879,Phil Niekro,R,73,180,0.169,7,Right
880,Phil Roof,R,74,190,0.215,43,Right
881,R.J. Reynolds,B,72,190,0.267,35,Both
882,Rafael Landestoy,B,70,165,0.237,4,Both
883,Rafael Santana,R,73,165,0.246,13,Right
884,Rafael Vasquez,R,72,160,0,0,Right
885,Ralph Botting,L,72,195,0,0,Left
886,Ralph Garr,L,71,185,0.306,75,Left
887,Ramon Manon,R,72,150,0,0,Right
888,Ramon Pena,R,70,155,0,0,Right
889,Randy Hundley,R,71,170,0.236,82,Right
890,Randy Jones,R,72,178,0.132,0,Right
891,Randy Nosek,R,76,215,0,0,Right
892,Randy Scarbery,B,73,185,0,0,Both
893,Randy Wiles,L,73,185,0,0,Left
894,Ray Burris,R,77,200,0.151,1,Right
895,Ray Chadwick,B,74,180,0,0,Both
896,Ray Culp,R,72,200,0.123,1,Right
897,Ray Fosse,R,74,215,0.256,61,Right
898,Ray Knight,R,73,185,0.271,84,Right
899,Ray Oyler,R,71,165,0.175,15,Right
900,Ray Sadecki,L,71,180,0.191,5,Left
901,Ray Webster,L,72,185,0.244,17,Left
902,Reggie Jackson,L,72,195,0.262,563,Left
903,Reggie Ritter,L,74,195,0,0,Left
904,Reggie Smith,B,72,180,0.287,314,Both
905,Reid Nichols,R,71,165,0.266,22,Right
906,Rennie Stennett,R,71,160,0.274,41,Right
907,Rey Quinones,R,71,160,0.243,29,Right
908,Rich Barnes,R,76,186,0,0,Right
909,Rich Chiles,L,71,170,0.254,6,Left
910,Rich Coggins,L,68,170,0.265,12,Left
911,Rich Dauer,R,72,180,0.257,43,Right
912,Rich McKinney,R,71,185,0.225,20,Right
913,Rich Morales,R,71,170,0.195,6,Right
914,Rich Reese,L,75,185,0.253,52,Left
915,Rich Rollins,R,70,185,0.269,77,Right
916,Rich Wortham,R,72,185,0,0,Right
917,Rich Yett,R,74,187,0,0,Right
918,Richie Hebner,L,73,195,0.276,203,Left
919,Richie Scheinblum,B,73,180,0.263,13,Both
920,Richie Zisk,R,73,200,0.287,207,Right
921,Rick Anderson,R,74,210,0,0,Right
922,Rick Auerbach,R,72,165,0.22,9,Right
923,Rick Bosetti,R,71,185,0.25,17,Right
924,Rick Burleson,R,70,165,0.273,50,Right
925,Rick Henninger,R,78,225,0,0,Right
926,Rick Jones,L,77,190,0,0,Left
927,Rick Joseph,R,73,192,0.243,13,Right
928,Rick Kreuger,R,74,185,0,0,Right
929,Rick Leach,L,73,180,0.268,18,Left
930,Rick Lysander,R,74,190,0,0,Right
931,Rick Manning,L,73,180,0.257,56,Left
932,Rick Miller,L,72,175,0.269,28,Left
933,Rick Monday,L,75,193,0.264,241,Left
934,Rick Peters,B,69,170,0.277,2,Both
935,Rick Reichardt,R,75,210,0.261,116,Right
936,Rick Renick,R,72,188,0.221,20,Right
937,Rick Rhoden,R,75,195,0.238,9,Right
938,Rick Sofield,L,73,195,0.243,9,Left
939,Rick Steirer,R,76,200,0,0,Right
940,Rick Sweet,B,73,200,0.234,6,Both
941,Rick Wise,R,73,180,0.195,15,Right
942,Rickey Keeton,R,74,190,0,0,Right
943,Rico Carty,R,75,200,0.299,204,Right
944,Rico Petrocelli,R,72,175,0.251,210,Right
945,Rob Andrews,R,72,185,0.251,3,Right
946,Rob Picciolo,R,74,185,0.234,17,Right
947,Rob Wilfong,L,73,180,0.248,39,Left
948,Rob Woodward,R,75,185,0,0,Right
949,Roberto Pena,R,68,170,0.245,13,Right
950,Rod Carew,L,72,170,0.328,92,Left
951,Rod Gilbreath,R,74,180,0.248,14,Right
952,Rod Kanehl,R,73,180,0.241,6,Right
953,Rodney Scott,B,72,160,0.236,3,Both
954,Roger Freed,R,72,190,0.245,22,Right
955,Roger Metzger,B,72,165,0.231,5,Both
956,Roger Miller,R,75,200,0,0,Right
957,Roger Repoz,L,75,190,0.224,82,Left
958,Roger Slagle,R,75,190,0,0,Right
959,Roger Weaver,R,75,190,0,0,Right
960,Ron Blomberg,L,73,195,0.293,52,Left
961,Ron Brand,R,67,167,0.239,3,Right
962,Ron Cey,R,70,185,0.261,316,Right
963,Ron Clark,R,70,175,0.189,5,Right
964,Ron Davis,R,72,175,0.233,10,Right
965,Ron Gardenhire,R,72,175,0.232,4,Right
966,Ron Hodges,L,73,185,0.24,19,Left
967,Ron Hunt,R,72,186,0.273,39,Right
968,Ron Jackson,R,72,200,0.259,56,Right
969,Ron LeFlore,R,72,200,0.288,59,Right
970,Ron Musselman,R,74,185,0,0,Right
971,Ron Oester,B,74,185,0.265,42,Both
972,Ron Pruitt,R,72,185,0.269,12,Right
973,Ron Reed,R,78,215,0.158,0,Right
974,Ron Roenicke,B,72,180,0.238,17,Both
975,Ron Romanick,R,76,195,0,0,Right
976,Ron Santo,R,72,190,0.277,342,Right
977,Ron Stone,L,74,185,0.241,6,Left
978,Ron Swoboda,R,74,195,0.242,73,Right
979,Ron Theobald,R,68,165,0.248,2,Right
980,Ron Washington,R,71,155,0.261,20,Right
981,Ron Woods,R,70,168,0.233,26,Right
982,Rowland Office,L,72,170,0.259,32,Left
983,Roy Branch,R,72,175,0,0,Right
984,Roy Foster,R,72,185,0.253,45,Right
985,Roy Howell,L,73,190,0.261,80,Left
986,Roy Smalley,B,73,185,0.257,163,Both
987,Roy White,B,70,160,0.271,160,Both
988,Rudy Law,L,73,165,0.271,18,Left
989,Rudy Meoli,L,69,165,0.212,2,Left
990,Rufino Linares,R,72,170,0.27,11,Right
991,Ruppert Jones,L,70,170,0.25,147,Left
992,Russ Gibson,R,73,195,0.228,8,Right
993,Rusty Staub,L,74,190,0.279,292,Left
994,Rusty Torres,B,70,175,0.212,35,Both
995,Sal Bando,R,72,195,0.254,242,Right
996,Sal Butera,R,72,190,0.227,8,Right
997,Sam Bowens,R,73,188,0.223,45,Right
998,Sam Hinds,R,78,215,0,0,Right
999,Sam McDowell,L,77,190,0.154,2,Left
1000,Sandy Alomar,B,69,140,0.245,13,Both
1001,Sandy Valdespino,L,68,170,0.23,7,Left
1002,Sandy Wihtol,R,73,195,0,0,Right
1003,Scot Thompson,L,75,195,0.262,5,Left
1004,Shawn Holman,R,74,185,0,0,Right
1005,Sherman Corbett,L,76,205,0,0,Left
1006,Sixto Lezcano,R,70,165,0.271,148,Right
1007,Skip Jutze,R,71,190,0.215,3,Right
1008,Sonny Jackson,L,69,150,0.251,7,Left
1009,Sonny Siebert,R,75,190,0.173,12,Right
1010,Stan Papi,R,72,170,0.218,7,Right
1011,Stan Thomas,R,74,185,0,0,Right
1012,Stefan Wever,R,80,245,0,0,Right
1013,Steve Adkins,R,78,210,0,0,Right
1014,Steve Barber,L,72,195,0.115,5,Left
1015,Steve Barr,L,76,200,0,0,Left
1016,Steve Blass,R,72,165,0.172,1,Right
1017,Steve Braun,L,70,180,0.271,52,Left
1018,Steve Brown,R,77,200,0,0,Right
1019,Steve Brye,R,72,190,0.258,30,Right
1020,Steve Burke,B,74,200,0,0,Both
1021,Steve Carlton,L,76,210,0.201,13,Left
1022,Steve Cummings,B,74,200,0,0,Both
1023,Steve Curry,R,78,217,0,0,Right
1024,Steve Davis,L,73,195,0,0,Left
1025,Steve Dillard,R,73,180,0.243,13,Right
1026,Steve Eddy,R,74,185,0,0,Right
1027,Steve Ellsworth,R,80,220,0,0,Right
1028,Steve Garvey,R,70,192,0.294,272,Right
1029,Steve Henderson,R,74,190,0.28,68,Right
1030,Steve Hovley,L,70,188,0.258,8,Left
1031,Steve Huntz,B,73,204,0.206,16,Both
1032,Steve Jeltz,B,71,180,0.21,5,Both
1033,Steve Kemp,L,72,195,0.278,130,Left
1034,Steve Lombardozzi,R,72,175,0.233,20,Right
1035,Steve Nicosia,R,70,185,0.248,11,Right
1036,Steve Ontiveros,B,72,185,0.274,24,Both
1037,Steve Renko,R,77,230,0.215,6,Right
1038,Steve Rogers,R,74,175,0.138,0,Right
1039,Steve Senteney,R,74,205,0,0,Right
1040,Steve Swisher,R,74,205,0.216,20,Right
1041,Steve Whitaker,L,72,180,0.23,24,Left
1042,Steve Yeager,R,72,190,0.228,102,Right
1043,Syd O'Brien,R,73,185,0.23,24,Right
1044,T.R. Bryden,R,76,190,0,0,Right
1045,Ted Cox,R,75,195,0.245,10,Right
1046,Ted Ford,R,70,180,0.219,17,Right
1047,Ted Kubiak,B,72,175,0.231,13,Both
1048,Ted Martinez,R,72,165,0.24,7,Right
1049,Ted Savage,R,73,185,0.233,34,Right
1050,Ted Simmons,B,71,193,0.285,248,Both
1051,Ted Sizemore,R,70,165,0.262,23,Right
1052,Ted Uhlaender,L,74,190,0.263,36,Left
1053,Terry Crowley,L,72,180,0.25,42,Left
1054,Terry Felton,R,73,180,0,0,Right
1055,Terry Francona,L,73,190,0.274,16,Left
1056,Terry Harmon,R,74,180,0.233,4,Right
1057,Terry Harper,R,76,195,0.253,36,Right
1058,Terry Humphrey,R,75,185,0.211,6,Right
1059,Terry Taylor,R,73,180,0,0,Right
1060,Terry Whitfield,L,73,197,0.281,33,Left
1061,Terry Wilshusen,R,74,210,0,0,Right
1062,Thad Bosley,L,75,175,0.272,20,Left
1063,Thurman Munson,R,71,190,0.292,113,Right
1064,Tim Blackwell,B,71,170,0.228,6,Both
1065,Tim Corcoran,L,71,175,0.27,12,Left
1066,Tim Cullen,R,73,185,0.22,9,Right
1067,Tim Flannery,L,71,175,0.255,9,Left
1068,Tim Foli,R,72,179,0.251,25,Right
1069,Tim Harkness,L,74,182,0.235,14,Left
1070,Tim Johnson,L,73,170,0.223,0,Left
1071,Tim Laudner,R,75,212,0.225,77,Right
1072,Tito Fuentes,B,71,175,0.268,45,Both
1073,Tito Landrum,R,71,175,0.249,13,Right
1074,Toby Harrah,R,72,175,0.264,195,Right
1075,Todd Cruz,R,72,175,0.22,34,Right
1076,Todd Fischer,R,70,170,0,0,Right
1077,Tom Brookens,R,70,165,0.246,71,Right
1078,Tom Brown,R,73,170,0,0,Right
1079,Tom Buskey,R,75,200,0,0,Right
1080,Tom Dozier,R,74,190,0,0,Right
1081,Tom Egan,R,76,218,0.2,22,Right
1082,Tom Gilles,R,73,185,0,0,Right
1083,Tom Grieve,R,74,190,0.249,65,Right
1084,Tom Haller,L,76,195,0.257,134,Left
1085,Tom Hutton,L,71,180,0.248,22,Left
1086,Tom Klawitter,R,74,190,0,0,Right
1087,Tom Lawless,R,71,170,0.207,2,Right
1088,Tom Makowski,R,71,185,0,0,Right
1089,Tom Matchick,L,73,173,0.215,4,Left
1090,Tom McCarthy,R,72,180,0,0,Right
1091,Tom Nieto,R,73,193,0.205,5,Right
1092,Tom O'Malley,L,72,180,0.256,13,Left
1093,Tom Paciorek,R,76,215,0.282,86,Right
1094,Tom Poquette,L,70,175,0.268,10,Left
1095,Tom Satriano,L,73,185,0.225,21,Left
1096,Tom Seaver,R,73,195,0.154,12,Right
1097,Tom Tresh,B,73,180,0.245,153,Both
1098,Tom Veryzer,R,73,175,0.241,14,Right
1099,Tommie Aaron,R,75,190,0.229,13,Right
1100,Tommie Agee,R,71,195,0.255,130,Right
1101,Tommie Reynolds,R,74,190,0.226,12,Right
1102,Tommy Dean,R,72,165,0.18,4,Right
1103,Tommy Harper,R,69,165,0.257,146,Right
1104,Tommy Helms,R,70,165,0.269,34,Right
1105,Tommy John,R,75,180,0.157,5,Right
1106,Tommy McCraw,L,72,183,0.246,75,Left
1107,Tony Armas,R,71,182,0.252,251,Right
1108,Tony Arnold,R,71,170,0,0,Right
1109,Tony Chevez,R,71,177,0,0,Right
1110,Tony Cloninger,R,72,210,0.192,11,Right
1111,Tony Conigliaro,R,75,185,0.264,166,Right
1112,Tony Ferreira,L,73,160,0,0,Left
1113,Tony Gonzalez,L,69,170,0.286,103,Left
1114,Tony Horton,R,75,210,0.268,76,Right
1115,Tony Mack,R,70,177,0,0,Right
1116,Tony Muser,L,74,180,0.259,7,Left
1117,Tony Oliva,L,73,175,0.304,220,Left
1118,Tony Perez,R,74,175,0.279,379,Right
1119,Tony Scott,B,72,164,0.249,17,Both
1120,Tony Solaita,L,72,210,0.255,50,Left
1121,Tucker Ashford,R,73,195,0.218,6,Right
1122,Ty Cline,L,72,170,0.238,6,Left
1123,U L Washington,B,71,175,0.251,27,Both
1124,Vance Lovelace,L,77,205,0,0,Left
1125,Vern Fuller,R,73,170,0.232,14,Right
